review,idx,Location_true,Noisy_true,Scenic Spot_true,Transportation_true,Room Size_true,Smell_true,Recreation Facilities_true,Amenities_true,Bathroom_true,In-room Facilities_true,Renovation_true,View_true,Cleanliness_true
love stay,738850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first airbnb experi pleasant one issu outsid wireless internet go caus us lose cabl tv well henri walk husband thru step get back onlin work everi time hope futur experi relax one,65380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
john wife kazia made fianc feel welcom list look exactli like pictur exactli expect clean quiet absolut love bookshelf collect bed heavenli slept well left instruct wi fi use marvin jr home set john hous beauti landscap amaz string light back yard nice touch thoroughli enjoy stay stock home essenti towel coffe mug even shower gel everyth need would definit stay,197658,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
build locat central near highway get hang park quit easi tough find street busi outsid need go second entranc build right view great sun shine bright insid lot new construct go area larg build emerg hear smell neighbor build nois never last long enough time bothersom overal great place stay look stay la busi explor free park plu,496589,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
airstream well locat nice calm alley super easi street park airstream spaciou well decor bed larg realli comfort cherri cake magic view downtown la sunset perfect place stay trip la,495370,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
host commun room clean thank great stay,676148,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
issac best never got meet breez deal get awesom loft key work easili secur front door amaz loft spotless bed ridicul comfort grand central market easi minut walk hit egg slut awesom breakfast sandwich realli need trip la wait ditch ace standard hotel next time la make loft go spot plu rooftop pool busi standard,22489,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
place nice spaciou live room sleep arrang fine room clean daili enjoy stay,942141,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
first time use airbnb extrem satisfi host courteou place cleanli sanit daili linen chang daili ask better fit accommod park use kitchen fridg invit hous mate welcom,659530,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
felt welcom lisha home absolut friendli nice atmospher view window palm great quick access public transport relax neighborhood bed comfi furnitur surfac quit dusti though,331995,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
